Old Name,New Name
Y,Y
W,W
V,V
trnY(gua),Y
trnY(gta),Y
trnW(uca),W
trnW(tca),W
trnV(uac),V
trnV(tac),V
trnT(ugu),T
trnT(tgt),T
trnS2(tga),S
trnS1(tct),S
trnS(uga),S
trnS(ucu),S
trnR(ucg),R
trnR(tcg),R
trnQ(uug),Q
trnP(ugg),P
trnP(tgg),P
trnN(guu),N
trnN(gtt),N
trnM(cau),M
trnM(cat),M
trnL2(taa),L
trnL1(tag),L
trnL(uag),L
trnL(uaa),L
trnK(uuu),K
trnK(ttt),K
trnI(gau),I
trnI(gat),I
trnH(gug),H
trnH(gtg),H
trnG(ucc),G
trnG(tcc),G
trnF(gaa),F
trnE(uuc),E
trnE(ttc),E
trnD(guc),D
trnD(gtc),D
trnC(gca),C
tRNA-VAL,V
tRNA-TYR,Y
tRNA-TRP,W
tRNA-THR,T
tRNA-SER2,S2
tRNA-SER1,S1
tRNA-Ser,S
tRNA-PRO,P
tRNA-PHE,F
tRNA-MET,M
tRNA-LYS,K
tRNA-LEU2,L2
tRNA-LEU1,L1
tRNA-Leu,L
tRNA-ILE,I
tRNA-HIS,H
tRNA-GLY,G
tRNA-GLU,E
tRNA-GLN,Q
tRNA-CYS,C
tRNA-ASP,D
tRNA-ASN,N
tRNA-ARG,R
tRNA-ALA,A
trnA(ugc),A
trnA(tgc),A
T,T
s-rRNA,12s
S2,S2
S1,S1
S,S
rrnaS,12s
rrnaL,16s
R,R
Q,Q
P,P
ND6,nad6
ND5,nad5
ND4L,nad4l
ND4,nad4
ND4,nad4l
ND3,nad3
ND2,nad2
ND1,nad1
NADH dehydrogenase subunit 6,nad6
NADH dehydrogenase subunit 5,nad5
NADH dehydrogenase subunit 4L,nad4l
NADH dehydrogenase subunit 4,nad4
NADH dehydrogenase subunit 3,nad3
NADH dehydrogenase subunit 2,nad2
NADH dehydrogenase subunit 1,nad1
nad6,nad6
nad5,nad5
nad4L,nad4l
nad4,nad4
nad3,nad3
nad2,nad2
nad1,nad1
N,N
M,M
l-rRNA,16s
L2,L2
L1,L1
L,L
K,K
I,I
H,H
G,G
F,F
E,E
D,D
cytochrome c oxidase subunit 3,cox3
cytochrome c oxidase subunit 2,cox2
cytochrome c oxidase subunit 1,cox1
cytochrome b,cytb
CYTB,cytb
cox3,cox3
cox2,cox2
cox1,cox1
cob,cytb
C,C
atp8,atp8
atp6,atp6
ATP synthase F0 subunit 8,atp8
ATP synthase F0 subunit 6,atp6
A,A
16S ribosomal RNA,16s
12S ribosomal RNA,12s
NCR,NCR
12s,12s
16s,16s
